Concurrency: 15 Max Time: 300s Early stop - Seen plies: 3 Min time: 10s

TestId              |         Spike1.4        |       Qapla0.3.2bb      |        Qapla0.3.2       |       Stockfish 17       | BM:
(Speelman_EP_53)    |  00.621, D: 13, M: d2d5 |  00.030, D: 10, M: d2d5 |  00.047, D: 11, M: d2d5 |  00.022, D: 10, M: d2d5  | BM: Rd5
(Speelman_EP_54)    |  00.036, D:  7, M: b4b5 |  00.994, D: 17, M: b4b5 |  02.926, D: 23, M: b4b5 |  00.001, D:  4, M: b4b5  | BM: b5
(Speelman_EP_55)    | 116.649, D: 35, M: g6g5 |  59.917, D: 32, M: g6g5 |       -, D:  -, M: d6d7 |  00.112, D: 15, M: g6g5  | BM: g5
(Speelman_EP_56)    |  38.087, D: 34, M: b6b2 | 263.310, D: 34, M: b6b2 |       -, D:  -, M: b6b8 |  01.095, D: 24, M: b6b2  | BM: Rb2+
(Speelman_EP_57)    |  00.033, D:  1, M: e8g8 |  00.001, D:  1, M: e8g8 |  00.001, D:  1, M: e8g8 |  00.001, D:  1, M: e8g8  | BM: Qg8+ Qe6+ Qc8+
(Speelman_EP_58)    |  76.753, D: 26, M: e6e5 |  58.190, D: 26, M: e6e5 |  39.664, D: 25, M: e6e5 |  00.032, D: 11, M: e6e5  | BM: e5
(Speelman_EP_59)    |       -, D:  -, M: g2g4 |       -, D:  -, M: g2g4 |  26.424, D: 21, M: b2b4 |       -, D:  -, M: g2g4  | BM: b4
(Speelman_EP_60)    | 119.026, D: 21, M: h6h7 |       -, D:  -, M: h6h2 |       -, D:  -, M: h6h1 |  00.803, D: 19, M: h6h7  | BM: Rh7
(Speelman_EP_61)    |  00.161, D: 11, M: f7e6 |  00.050, D: 10, M: f7e6 |  00.116, D: 13, M: f7e6 |  00.006, D:  9, M: f7e6  | BM: Ke6
(Speelman_EP_62)    |  00.037, D:  4, M: c6b6 |  01.218, D: 15, M: c6b6 |  00.001, D:  5, M: c6b6 |  00.004, D:  8, M: c6b6  | BM: Rb6
(Speelman_EP_63)    |       -, D:  -, M: c6b4 |       -, D:  -, M: c6b4 |       -, D:  -, M: c6b4 |       -, D:  -, M: c6b4  | BM: Rb1
(Speelman_EP_64)    |       -, D:  -, M: c6c5 |       -, D:  -, M: c6c5 |       -, D:  -, M: c6c5 |       -, D:  -, M: c6c5  | BM: g5
(Speelman_EP_65)    |  00.039, D:  1, M: d4d3 |  00.001, D:  1, M: d4d3 |  00.127, D: 12, M: d4d3 |  00.003, D:  9, M: d4d3  | BM: d3
(Speelman_EP_66)    |  00.044, D:  8, M: f4f3 |  00.001, D:  1, M: f4f3 |  00.001, D:  7, M: f4f3 |  00.007, D: 10, M: f4f3  | BM: Kf3
(Speelman_EP_67)    |  08.289, D: 20, M: h5f4 |       -, D:  -, M: g2g4 |       -, D:  -, M: g2g4 |  00.037, D: 13, M: h5f4  | BM: Nf4
(Speelman_EP_68)    |  00.028, D:  1, M: g4g5 |  00.010, D:  9, M: g4g5 |  00.006, D:  8, M: g4g5 |  00.005, D:  8, M: g4g5  | BM: g5
(Speelman_EP_69)    |  00.028, D:  1, M: b4c4 |  00.001, D:  1, M: b4c4 |  00.001, D:  1, M: b4c4 |  00.001, D:  1, M: b4c5  | BM: Kc4 Kc5
(Speelman_EP_70)    |  67.473, D: 23, M: c3d5 |       -, D:  -, M: d4c5 |       -, D:  -, M: d4c5 |       -, D:  -, M: d4c5  | BM: Nd5
(Speelman_EP_71)    |       -, D:  -, M: h2g3 |       -, D:  -, M: h2g3 |       -, D:  -, M: h2g3 |       -, D:  -, M: h2g3  | BM: h5
(Speelman_EP_72)    |       -, D:  -, M: d3d4 |       -, D:  -, M: e4e5 |       -, D:  -, M: e4e5 |       -, D:  -, M: e4e5  | BM: Ra5
(Speelman_EP_73)    |  23.952, D: 20, M: c5c6 |  00.922, D: 13, M: c5c6 |  00.046, D: 10, M: c5c6 |  00.027, D: 11, M: c5c6  | BM: c6
(Speelman_EP_74)    |       -, D:  -, M: c8e6 |  02.951, D: 18, M: c8g4 |       -, D:  -, M: c8e6 |       -, D:  -, M: c8e6  | BM: Bg4
(Speelman_EP_75)    |  00.033, D:  6, M: b7b8q|  00.009, D:  6, M: b7b8q|  00.014, D: 11, M: b7b8q|  00.006, D:  9, M: b7b8q | BM: b8=Q+
(Speelman_EP_76)    |  00.614, D: 15, M: c3e4 | 149.159, D: 28, M: c3e4 |  43.992, D: 26, M: c3e4 |  00.167, D: 15, M: c3e4  | BM: Ne4
(Speelman_EP_77)    |  00.093, D: 11, M: h2h4 |  00.068, D: 11, M: h2h4 |  00.423, D: 17, M: h2h4 |       -, D:  -, M: d1h5  | BM: h4
(Speelman_EP_78)    |       -, D:  -, M: e5d7 |       -, D:  -, M: e5d7 |       -, D:  -, M: e5d7 |  00.052, D: 14, M: g1f2  | BM: Kf2
(Speelman_EP_79)    |  00.832, D: 14, M: g2g3 |       -, D:  -, M: c2b3 |       -, D:  -, M: c2b3 |       -, D:  -, M: c3c4  | BM: g3
(Speelman_EP_80)    |  00.049, D:  7, M: a4d1 |  00.001, D:  2, M: a4d1 |  00.001, D:  2, M: a4d1 |  00.003, D:  6, M: a4d1  | BM: Bd1
(Speelman_EP_81)    |  00.839, D: 15, M: f3g3 |  01.159, D: 18, M: f3g3 |  02.033, D: 22, M: f3g3 |  00.008, D:  8, M: f3g3  | BM: Kg3
(Speelman_EP_82)    |       -, D:  -, M: f4e2 |       -, D:  -, M: f4e2 |  00.001, D:  5, M: g7g8 |       -, D:  -, M: f4e2  | BM: Kg8
(Speelman_EP_83)    |  00.038, D:  5, M: a7a5 |  00.002, D:  5, M: a7a5 |  00.005, D:  6, M: a7a5 |  00.004, D:  8, M: a7a5  | BM: a5
(Speelman_EP_84)    |       -, D:  -, M: c7d6 |       -, D:  -, M: g2g4 |       -, D:  -, M: c7d8 |       -, D:  -, M: c7d8  | BM: g3
(Speelman_EP_85)    |  14.455, D: 22, M: b6b5 |  48.460, D: 25, M: b6b5 | 146.272, D: 28, M: b6b5 |  01.347, D: 23, M: b6b5  | BM: b5
(Speelman_EP_86)    |  00.048, D: 11, M: e6f7 |  00.174, D: 14, M: e6f7 |  00.052, D: 13, M: e6f7 |  00.012, D:  9, M: e6f7  | BM: Kf7
(Speelman_EP_87)    |  33.199, D: 32, M: f1c4 |  00.675, D: 25, M: f1c4 |  00.702, D: 26, M: f1c4 |  00.003, D:  9, M: f1c4  | BM: Bxc4
(Speelman_EP_88)    |       -, D:  -, M: g3f4 |  35.638, D: 29, M: c2d3 |       -, D:  -, M: g3f4 |       -, D:  -, M: g3f4  | BM: Bd3
(Speelman_EP_89)    |  00.032, D:  1, M: f3f4 |       -, D:  -, M: c5e3 |       -, D:  -, M: g5f4 |  00.083, D: 16, M: f3f4  | BM: f4
(Speelman_EP_90)    |       -, D:  -, M: h2g3 |       -, D:  -, M: h2g3 |  07.119, D: 25, M: a3a5 |       -, D:  -, M: h2g3  | BM: Ra5
(Speelman_EP_91)    |  00.039, D:  7, M: d8d3 |  00.232, D: 14, M: d8d3 |  04.794, D: 21, M: d8d3 |  00.001, D:  6, M: d8d3  | BM: Rd3
(Speelman_EP_92)    |  05.960, D: 23, M: g7b2 |  00.001, D:  1, M: g7b2 |  00.001, D:  1, M: g7b2 |  00.001, D:  1, M: g7b2  | BM: Bxb2
(Speelman_ATE_93)   |  00.029, D:  7, M: f5e5 |  00.001, D:  1, M: h4h5 |  00.289, D: 25, M: h4h5 |  15.447, D: 33, M: h4h5  | BM: Ke5 h5
(Speelman_ATE_94)   |  00.032, D: 11, M: f7e7 |  00.001, D:  1, M: f7e7 |  00.001, D:  1, M: f7e7 |  00.001, D:  1, M: f7e7  | BM: Ke7
(Speelman_ATE_95)   |  00.090, D: 15, M: f3g4 |  00.021, D: 12, M: f3g4 |  00.179, D: 17, M: f3g4 |  00.001, D:  1, M: f3g4  | BM: Kg4
(Speelman_ATE_96)   |  00.032, D:  8, M: f5g5 |  00.008, D:  9, M: f5g5 |  00.220, D: 19, M: f5g5 |  00.007, D:  8, M: f5g5  | BM: Kg5
(Speelman_ATE_97)   |       -, D:  -, M: e8d8 |  00.003, D:  5, M: e8f8 | 195.179, D: 36, M: e8f8 |  00.003, D:  7, M: e8f8  | BM: Kf8
(Speelman_ATE_98)   |  00.032, D:  4, M: e1h1 |  00.001, D:  1, M: e1h1 |  00.032, D: 10, M: e1h1 |  00.001, D:  5, M: e1h1  | BM: Rh1
(Speelman_ATE_99)   |  00.037, D:  6, M: e6f7 |  00.004, D:  8, M: e6f7 |  00.033, D: 10, M: e6f7 |  00.001, D:  1, M: e6f7  | BM: Kf7
